"ID","Study","Typology","Index","Place","Era","Axis","Status","Status definition","Reference","Source","Source note","Source URL","Length (m)","Span (m)","Length / span","Height (m)","Height / span","Bay count","Module (m)","Radius (m)","Floor area estimate (m²)","Floor area basis","Volume estimate (m³)","Volume basis","Symmetry index","Scope","Route","Schema version","Units","Schema URL","Linearity profile (0–100)","Verticality profile (0–100)","Radiality profile (0–100)","Repetition profile (0–100)","Reading profile basis"
"basilica","Sant'Apollinare in Classe","Basilica","01","Ravenna, Italy","6th century","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Basilica of Sant'Apollinare in Classe","UNESCO World Heritage Centre · Ravenna nomination","Real reference building: UNESCO describes the basilica as 56 m long by 30 m wide; the Atlas drawing dimensions, module, radius, and height are schematic readings, not a measured survey.","https://whc.unesco.org/en/list/788/","56.0","30.0","1.87","18.0","0.60","7","8.0","15.0","","length × span fallback","","No estimate supplied","1.00","full collection","#atlas/basilica/plan/exterior/all","1.1","meters","data/geometry.schema.json","25","50","48","88","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"gothic","Chartres Cathedral","Gothic","02","Chartres, France","13th century","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Cathédrale Notre-Dame de Chartres","Cathédrale de Chartres · official architecture guide","Real reference building: the cathedral's official guide reports 130.20 m overall length, a 37.50 m vault height, and a 16.40 m nave span; Atlas envelope values remain a schematic comparison model.","https://www.cathedrale-chartres.org/en/cathedrale/monument/architecture/the-13th-century-cathedral/","130.2","34.0","3.83","37.5","1.10","8","11.5","17.0","","length × span fallback","","No estimate supplied","1.00","full collection","#atlas/gothic/plan/exterior/all","1.1","meters","data/geometry.schema.json","81","92","42","100","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"byzantine","Hosios Loukas Katholikon","Central plan","03","Distomo, Greece","11th century","Radial","schematic","Illustrative proportions; not a measured survey.","Katholikon of Hosios Loukas Monastery","UNESCO World Heritage Centre · Hosios Loukas Monastery","Real reference building: UNESCO describes the Katholikon as an 11th-century cross-in-square church with a central dome; Atlas envelope and module values are schematic readings.","https://whc.unesco.org/en/list/537/","30.0","30.0","1.00","25.0","0.83","4","7.5","4.5","","length × span fallback","","No estimate supplied","0.95","full collection","#atlas/byzantine/plan/exterior/all","1.1","meters","data/geometry.schema.json","0","69","100","50","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"baroque","Sant'Andrea al Quirinale","Baroque","04","Rome, Italy","17th century (1658–1678)","Compressed axis","schematic","Illustrative proportions; not a measured survey.","Church of Sant'Andrea al Quirinale","Chiesa di Sant'Andrea al Quirinale · official architecture guide","Real reference building: the Jesuit church was designed by Bernini and built from 1658 to 1678; the official guide identifies its elliptical plan. Atlas envelope dimensions are schematic readings.","https://www.gesuiti-santandrea.it/storia-e-arte/architettura/","30.0","22.0","1.36","20.0","0.91","4","5.5","11.0","","length × span fallback","","No estimate supplied","0.82","full collection","#atlas/baroque/plan/exterior/all","1.1","meters","data/geometry.schema.json","10","76","84","50","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"stave","Borgund Stave Church","Timber","05","Lærdal, Norway","c. 1180","Vertical stack","schematic","Illustrative proportions; not a measured survey.","Borgund Stave Church (Borgund stavkyrkje)","Fortidsminneforeningen · Borgund Stave Church","Real reference building: the managing heritage foundation dates the church to about 1180; the Atlas uses its post-and-frame geometry as a schematic proportional reading.","https://fortidsminneforeningen.no/en/museum/borgund-stave-church/","18.0","10.0","1.80","16.0","1.60","5","3.6","5.0","","length × span fallback","","No estimate supplied","0.90","full collection","#atlas/stave/plan/exterior/all","1.1","meters","data/geometry.schema.json","23","100","36","63","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"concrete","Church of the Light","Modern","06","Ibaraki, Osaka, Japan","1987–1989","Offset axis","schematic","Illustrative proportions; not a measured survey.","Ibaraki Kasugaoka Church (Church of the Light)","The Museum of Modern Art · Tadao Ando catalogue","Real reference building: MoMA describes a rectangular concrete volume completed in 1987–89; the Atlas uses a normalized schematic envelope to study its axial light cut, not a measured survey.","https://www.moma.org/documents/moma_catalogue_348_300085246.pdf","18.0","6.5","2.77","6.5","1.00","4","4.5","3.3","","length × span fallback","","No estimate supplied","0.76","full collection","#atlas/concrete/plan/exterior/all","1.1","meters","data/geometry.schema.json","51","83","28","50","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"san-vitale","San Vitale","Byzantine","07","Ravenna, Italy","6th century","Radial","schematic","Illustrative proportions; not a measured survey.","Basilica of San Vitale","UNESCO World Heritage Centre · Early Christian Monuments of Ravenna","Real reference building: UNESCO identifies San Vitale as one of Ravenna's 5th–6th-century Early Christian Monuments and a major Byzantine work; Atlas dimensions and modules are schematic readings.","https://whc.unesco.org/en/list/788/","32.0","28.0","1.14","24.0","0.86","8","4.0","14.0","","length × span fallback","","No estimate supplied","0.92","full collection","#atlas/san-vitale/plan/exterior/all","1.1","meters","data/geometry.schema.json","4","71","100","100","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"hagia-sophia","Hagia Sophia","Byzantine","08","Istanbul, Türkiye","6th century (532–537)","Radial","schematic","Illustrative proportions; not a measured survey.","Hagia Sophia","UNESCO World Heritage Centre · Historic Areas of Istanbul","Real reference building: UNESCO identifies Hagia Sophia as a 6th-century Byzantine masterpiece designed in 532–537; Atlas dimensions and dome proportions are schematic readings.","https://whc.unesco.org/en/list/356/","60.0","42.0","1.43","35.0","0.83","4","10.0","21.0","","length × span fallback","","No estimate supplied","0.94","full collection","#atlas/hagia-sophia/plan/exterior/all","1.1","meters","data/geometry.schema.json","12","69","100","50","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"speyer","Speyer Cathedral","Romanesque","09","Speyer, Germany","11th century (founded 1030)","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Imperial Cathedral Basilica of the Assumption and St Stephen","UNESCO World Heritage Centre · Speyer Cathedral","Real reference building: UNESCO describes Speyer Cathedral as a Romanesque basilica founded in 1030 and remodelled at the end of the 11th century; Atlas dimensions are schematic readings.","https://whc.unesco.org/en/list/168/","100.0","40.0","2.50","30.0","0.75","8","12.5","20.0","","length × span fallback","","No estimate supplied","0.96","full collection","#atlas/speyer/plan/exterior/all","1.1","meters","data/geometry.schema.json","43","63","48","100","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"durham","Durham Cathedral","Romanesque","10","Durham, England","11th–12th centuries","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Cathedral Church of Christ, Blessed Mary the Virgin and St Cuthbert","Durham Cathedral · official building guide","Real reference building: the cathedral's official guide describes its Romanesque design and historic quire; Atlas dimensions, modules, and vault profile are schematic readings.","https://www.durhamcathedral.co.uk/explore/the-cathedral-building-and-grounds/the-quire","100.0","35.0","2.86","28.0","0.80","9","11.0","17.5","","length × span fallback","","No estimate supplied","0.91","full collection","#atlas/durham/plan/exterior/all","1.1","meters","data/geometry.schema.json","53","67","48","100","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"santiago","Santiago Cathedral","Romanesque","11","Santiago de Compostela, Spain","11th–13th centuries","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Cathedral Basilica of Santiago de Compostela","Catedral de Santiago · official history","Real reference building: the cathedral's official history dates the Romanesque construction from 1075 and its consecration to 1211; Atlas dimensions and procession are schematic readings.","https://catedraldesantiago.es/en/cathedral/","90.0","45.0","2.00","26.0","0.58","9","10.0","22.5","","length × span fallback","","No estimate supplied","0.93","full collection","#atlas/santiago/plan/exterior/all","1.1","meters","data/geometry.schema.json","29","48","48","100","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"reims","Reims Cathedral","Gothic","12","Reims, France","13th century","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Cathédrale Notre-Dame de Reims","UNESCO World Heritage Centre · Reims Cathedral","Real reference building: UNESCO describes Reims Cathedral as a masterpiece of 13th-century Gothic art whose sculpture is integral to its architecture; Atlas dimensions are schematic readings.","https://whc.unesco.org/en/list/601/","100.0","35.0","2.86","40.0","1.14","9","11.0","17.5","","length × span fallback","","No estimate supplied","0.98","full collection","#atlas/reims/plan/exterior/all","1.1","meters","data/geometry.schema.json","53","95","42","100","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"cologne","Cologne Cathedral","Gothic","13","Cologne, Germany","1248–1880","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Cologne Cathedral","UNESCO World Heritage Centre · Cologne Cathedral","Real reference building: UNESCO records construction beginning in 1248 and completion in 1880, with later builders following the medieval design; Atlas dimensions remain schematic.","https://whc.unesco.org/en/list/292/","120.0","40.0","3.00","48.0","1.20","10","11.5","20.0","","length × span fallback","","No estimate supplied","1.00","full collection","#atlas/cologne/plan/exterior/all","1.1","meters","data/geometry.schema.json","57","100","42","100","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"monreale","Monreale Cathedral","Norman-Arab","14","Monreale, Sicily, Italy","12th century","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Cathedral of Santa Maria Nuova","UNESCO World Heritage Centre · Arab-Norman Palermo and Cathedral Churches of Cefalù and Monreale","Real reference building: UNESCO includes Monreale Cathedral in the Arab-Norman Palermo and Cathedral Churches of Cefalù and Monreale World Heritage property; Atlas dimensions and ornament geometry are schematic readings.","https://whc.unesco.org/en/list/1487/","72.0","32.0","2.25","26.0","0.81","7","9.0","16.0","","length × span fallback","","No estimate supplied","0.95","full collection","#atlas/monreale/plan/exterior/all","1.1","meters","data/geometry.schema.json","36","68","48","88","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"saint-denis","Saint-Denis Basilica","Gothic","15","Saint-Denis, France","12th century (with later additions)","Longitudinal","schematic","Illustrative proportions; not a measured survey.","Basilique cathédrale Saint-Denis","Saint-Denis Basilica Cathedral · official history","Real reference building: the official basilica site presents Saint-Denis as a cradle of Gothic art and a former abbey church; Atlas dimensions and light geometry are schematic readings.","https://www.saint-denis-basilique.fr/en/discover/the-cradle-of-gothic-art","75.0","30.0","2.50","34.0","1.13","7","10.0","15.0","","length × span fallback","","No estimate supplied","0.90","full collection","#atlas/saint-denis/plan/exterior/all","1.1","meters","data/geometry.schema.json","43","94","42","88","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"urnes","Urnes Stave Church","Timber","16","Luster, Norway","12th–13th centuries","Vertical stack","schematic","Illustrative proportions; not a measured survey.","Urnes Stave Church","UNESCO World Heritage Centre · Urnes Stave Church","Real reference building: UNESCO dates Urnes Stave Church to the 12th and 13th centuries and describes its Scandinavian wooden architecture; Atlas dimensions are schematic readings.","https://whc.unesco.org/en/list/58/","18.0","8.0","2.25","13.0","1.63","4","3.5","4.0","","length × span fallback","","No estimate supplied","0.88","full collection","#atlas/urnes/plan/exterior/all","1.1","meters","data/geometry.schema.json","36","100","36","50","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
"kizhi","Kizhi Transfiguration Church","Timber","17","Kizhi Island, Karelia, Russia","18th century","Vertical stack","schematic","Illustrative proportions; not a measured survey.","Church of the Transfiguration, Kizhi Pogost","UNESCO World Heritage Centre · Kizhi Pogost","Real reference building: UNESCO identifies the Church of the Transfiguration as one of Kizhi Pogost's two 18th-century wooden churches; Atlas dimensions and roof rhythm are schematic readings.","https://whc.unesco.org/en/list/544/","30.0","18.0","1.67","25.0","1.39","6","5.0","9.0","","length × span fallback","","No estimate supplied","0.86","full collection","#atlas/kizhi/plan/exterior/all","1.1","meters","data/geometry.schema.json","19","100","36","75","linearity = length ÷ span · verticality = height ÷ span · radiality = typology cue · repetition = bay count; Interpretive proportional tendencies, not empirical measurements."
